customer_id,customer,categories_selected,total_spent
32702,Customer_32702,7,106191.14
43536,Customer_43536,7,102467.51
51435,Customer_51435,7,101899.51
28573,Customer_28573,7,124165.92
5974,Customer_5974,7,117443.65
97770,Customer_97770,7,106655.57
85745,Customer_85745,7,119807.62
99764,Customer_99764,7,110849.9
94930,Customer_94930,7,100164.04
71933,Customer_71933,7,106439.72
13637,Customer_13637,7,110069.9
36102,Customer_36102,7,147833.9
870,Customer_870,7,113514.21
7852,Customer_7852,7,100174.44
7936,Customer_7936,7,107246.68
76071,Customer_76071,7,113621.25
57632,Customer_57632,7,103788.61
33572,Customer_33572,7,106761.08
10243,Customer_10243,7,100242.55
52828,Customer_52828,7,104899.39
99910,Customer_99910,7,106753.99
19559,Customer_19559,7,110721.3
32219,Customer_32219,7,102666.1
35827,Customer_35827,7,114467.64
66714,Customer_66714,7,107054.34
61015,Customer_61015,7,102071.59
94753,Customer_94753,7,102235.89
6494,Customer_6494,7,102597.84
78413,Customer_78413,7,104927.68
39275,Customer_39275,7,108558.41
41686,Customer_41686,7,101423.72
95555,Customer_95555,7,100302.77
1237,Customer_1237,7,105268.57
90716,Customer_90716,7,110522.94
84196,Customer_84196,7,101270.4
60669,Customer_60669,7,127946.54
54007,Customer_54007,7,106896.8
43749,Customer_43749,7,111738.2
95069,Customer_95069,7,104338.89
98476,Customer_98476,7,111648.53
42217,Customer_42217,7,121354.38
86719,Customer_86719,7,104565.64
74466,Customer_74466,7,101906.5
37351,Customer_37351,7,112307.77
56168,Customer_56168,7,113286.24
37810,Customer_37810,7,109706.92
79586,Customer_79586,7,137774.9
13394,Customer_13394,7,109627.56
63135,Customer_63135,7,108957.98
82117,Customer_82117,7,119052.2
95043,Customer_95043,7,135568.86
43929,Customer_43929,7,101925.06
99816,Customer_99816,7,124126.88
69823,Customer_69823,7,114865.46
26237,Customer_26237,7,124967.93
39334,Customer_39334,7,104701.82
97897,Customer_97897,7,112851.42
47320,Customer_47320,7,108449.1
6487,Customer_6487,7,107280.32
44093,Customer_44093,7,110079.02
47576,Customer_47576,7,103417.68
83216,Customer_83216,7,101763.27
56094,Customer_56094,7,111270.13
33174,Customer_33174,7,124514.69
75893,Customer_75893,7,107487.21
95462,Customer_95462,7,125663.43
43693,Customer_43693,7,100441.4
42828,Customer_42828,7,108236.55
69859,Customer_69859,7,115114.17
65733,Customer_65733,7,101021.79
38012,Customer_38012,7,101965.67
5376,Customer_5376,7,103168.6
84988,Customer_84988,7,110560.88
76167,Customer_76167,7,110496.91
11630,Customer_11630,7,105293.47
91591,Customer_91591,7,109013.09
85793,Customer_85793,7,107393.38
84169,Customer_84169,7,105923.52
20707,Customer_20707,7,102981.17
10432,Customer_10432,7,109257.99
60926,Customer_60926,7,108443.84
46907,Customer_46907,7,100951.83
36601,Customer_36601,7,106872.97
5975,Customer_5975,7,103546.08
32117,Customer_32117,7,103586.45
90163,Customer_90163,7,116343.86
62226,Customer_62226,7,120973.98
67933,Customer_67933,7,101216.8
70435,Customer_70435,7,114954.78
60754,Customer_60754,7,121545.18
41806,Customer_41806,7,107702.57
84324,Customer_84324,7,105438.06
19884,Customer_19884,7,103279.28
86897,Customer_86897,7,133074.21
57455,Customer_57455,7,107139.66
45448,Customer_45448,7,111022.05
40028,Customer_40028,7,106979.42
13644,Customer_13644,7,109920.53
92138,Customer_92138,7,114615.63
53107,Customer_53107,7,100883.83
16307,Customer_16307,7,128673.28
6550,Customer_6550,7,110763.58
28828,Customer_28828,7,110105.27
96371,Customer_96371,7,101885.11
14365,Customer_14365,7,108545.54
34337,Customer_34337,7,112631.94
14003,Customer_14003,7,107674.09
39326,Customer_39326,7,104817.25
14204,Customer_14204,7,112855.53
92963,Customer_92963,7,103082.06
51060,Customer_51060,7,107763.67
86955,Customer_86955,7,113626.79
14698,Customer_14698,7,119914.51
12432,Customer_12432,7,116508.19
41868,Customer_41868,7,115727.2
71297,Customer_71297,7,108318.57
55690,Customer_55690,7,102491.08
89802,Customer_89802,7,129057.54
37066,Customer_37066,7,110841.07
87026,Customer_87026,7,119300.75
32853,Customer_32853,7,112465.96
53204,Customer_53204,7,100541.24
90099,Customer_90099,7,100201.17
22228,Customer_22228,7,122503.74
10147,Customer_10147,7,101091.16
24521,Customer_24521,7,119065.02
79604,Customer_79604,7,106008.57
53401,Customer_53401,7,103387.85
94636,Customer_94636,7,111233.77
81656,Customer_81656,7,108684.19
37339,Customer_37339,7,128289.99
49038,Customer_49038,7,110139.9
33525,Customer_33525,7,100586.66
64216,Customer_64216,7,102624.53
88680,Customer_88680,7,103537.36
74253,Customer_74253,7,122493.33
19194,Customer_19194,7,101245.75
81896,Customer_81896,7,135624.61
71949,Customer_71949,7,106206.22
37504,Customer_37504,7,118330.32
60080,Customer_60080,7,112161.66
15345,Customer_15345,7,126183.67
65785,Customer_65785,7,115620.42
24814,Customer_24814,7,130516.75
74372,Customer_74372,7,112545.69
63,Customer_63,7,108402.88
71232,Customer_71232,7,112400.09
96657,Customer_96657,7,105622.89
34162,Customer_34162,7,100990.13
78157,Customer_78157,7,101907.43
44303,Customer_44303,7,116377.87
53876,Customer_53876,7,102982.45
14140,Customer_14140,7,112911.01
59002,Customer_59002,7,110486.86
23190,Customer_23190,7,100680.04
59045,Customer_59045,7,125186.01
28251,Customer_28251,7,102101.49
69365,Customer_69365,7,109530.84
14978,Customer_14978,7,109412.03
24852,Customer_24852,7,104808.1
85506,Customer_85506,7,121059.05
80447,Customer_80447,7,126365.77
20078,Customer_20078,7,102525.75
24213,Customer_24213,7,103275.43
9996,Customer_9996,7,104667.06
87296,Customer_87296,7,118176.83
80462,Customer_80462,7,109502.06
61214,Customer_61214,7,104012.3
1810,Customer_1810,7,110156.72
95997,Customer_95997,7,110504.94
85696,Customer_85696,7,104642.42
30022,Customer_30022,7,102708.13
35746,Customer_35746,7,140954.68
69700,Customer_69700,7,101153.39
86720,Customer_86720,7,129157.35
81320,Customer_81320,7,127874.24
27994,Customer_27994,7,103489.75
55900,Customer_55900,7,106351.63
9376,Customer_9376,7,107470.1
10254,Customer_10254,7,109492.38
27632,Customer_27632,7,124724.12
45451,Customer_45451,7,100642.16
702,Customer_702,7,124648.35
18249,Customer_18249,7,108962.6
34491,Customer_34491,7,107640.3
55720,Customer_55720,7,114973.0
47252,Customer_47252,7,108540.87
79282,Customer_79282,7,125650.25
76602,Customer_76602,7,106690.16
96610,Customer_96610,7,105534.75
6782,Customer_6782,7,103219.16
60275,Customer_60275,7,117307.79
92322,Customer_92322,7,121198.91
62708,Customer_62708,7,114017.98
19201,Customer_19201,7,108529.62
67536,Customer_67536,7,116736.66
72304,Customer_72304,7,115573.18
65393,Customer_65393,7,108615.1
42550,Customer_42550,7,101797.08
26278,Customer_26278,7,102497.98
83749,Customer_83749,7,106684.65
34687,Customer_34687,7,112820.17
37556,Customer_37556,7,107516.24
3202,Customer_3202,7,107901.28
90008,Customer_90008,7,124455.78
15971,Customer_15971,7,104306.09
47213,Customer_47213,7,105041.25
59317,Customer_59317,7,116256.71
50320,Customer_50320,7,105701.92
16153,Customer_16153,7,113519.6
85923,Customer_85923,7,101831.91
90723,Customer_90723,7,107551.67
50033,Customer_50033,7,105278.16
16531,Customer_16531,7,106122.35
88443,Customer_88443,7,117874.59
92217,Customer_92217,7,100063.47
69128,Customer_69128,7,106129.55
69751,Customer_69751,7,106450.53
97766,Customer_97766,7,116513.65
96352,Customer_96352,7,102077.7
21487,Customer_21487,7,104477.41
36698,Customer_36698,7,101768.1
44250,Customer_44250,7,116941.33
14146,Customer_14146,7,103655.68
56889,Customer_56889,7,105154.22
56431,Customer_56431,7,114770.17
981,Customer_981,7,113732.44
68013,Customer_68013,7,103834.47
4115,Customer_4115,7,109307.04
9923,Customer_9923,7,117552.43
25750,Customer_25750,7,103857.43
76896,Customer_76896,7,108952.2
51486,Customer_51486,7,100164.51
8503,Customer_8503,7,109807.61
91056,Customer_91056,7,121168.07
72775,Customer_72775,7,102191.54
43001,Customer_43001,7,101620.7
71376,Customer_71376,7,106166.61
39320,Customer_39320,7,101622.83
72579,Customer_72579,7,101583.63
31146,Customer_31146,7,100152.68
21328,Customer_21328,7,112136.96
66081,Customer_66081,7,102805.91
59168,Customer_59168,7,136437.87
4237,Customer_4237,7,106462.59
64874,Customer_64874,7,118583.68
77391,Customer_77391,7,106840.21
47906,Customer_47906,7,116189.64
33058,Customer_33058,7,101611.09
63975,Customer_63975,7,103466.38
46554,Customer_46554,7,109308.01
62740,Customer_62740,7,111439.64
81472,Customer_81472,7,119010.86
55319,Customer_55319,7,112779.49
32109,Customer_32109,7,121054.63
55513,Customer_55513,7,123457.83
14779,Customer_14779,7,118436.29
19011,Customer_19011,7,123053.24
33792,Customer_33792,7,109834.8
34368,Customer_34368,7,114805.12
27779,Customer_27779,7,111468.54
99083,Customer_99083,7,135422.3
16502,Customer_16502,7,104430.06
9699,Customer_9699,7,100661.79
97378,Customer_97378,7,108657.04
93874,Customer_93874,7,131803.88
64306,Customer_64306,7,104087.53
61076,Customer_61076,7,112396.65
73097,Customer_73097,7,109760.61
44977,Customer_44977,7,103297.04
92015,Customer_92015,7,101332.13
56180,Customer_56180,7,102024.5
81024,Customer_81024,7,111143.29
3684,Customer_3684,7,111263.35
68400,Customer_68400,7,100076.24
27119,Customer_27119,7,120806.66
73971,Customer_73971,7,123125.96
38106,Customer_38106,7,103914.8
3434,Customer_3434,7,140736.18
72878,Customer_72878,7,107986.39
94084,Customer_94084,7,118639.41
91933,Customer_91933,7,113774.79
11668,Customer_11668,7,101232.61
14309,Customer_14309,7,116108.39
78395,Customer_78395,7,104981.4
44937,Customer_44937,7,102997.85
90621,Customer_90621,7,119346.58
95300,Customer_95300,7,101139.15
86242,Customer_86242,7,101193.17
89007,Customer_89007,7,101453.7
22338,Customer_22338,7,100198.68
26786,Customer_26786,7,105782.26
98555,Customer_98555,7,116435.76
83671,Customer_83671,7,114093.11
14747,Customer_14747,7,101168.75
83276,Customer_83276,7,126265.66
57658,Customer_57658,7,103875.9
46518,Customer_46518,7,110411.86
46241,Customer_46241,7,135368.73
14283,Customer_14283,7,131646.87
88866,Customer_88866,7,114690.47
